,ratings,Bold,Tannic,Sweet,Alcohol content,contain_eggs,contain_milk,Type_dessert,Type_fortified,Type_red,Type_rose,Type_sparkling,Type_white
67,4.3,75.414,42.664,8.91064,14.5,0,0,0,0,1,0,0,0
68,4.3,22.3918,19.5067,6.80089,13.1,0,0,0,0,1,0,0,0
69,4.3,85,52.6862,9.42777,14.5,0,0,0,0,1,0,0,0
70,4.3,85,37.2621,6.50561,14.5,0,0,0,0,1,0,0,0
71,4.3,84.1349,47.9028,29.2903,15.5,0,0,0,0,1,0,0,0
72,4.3,46.8191,62.7164,17.7944,13,0,0,0,0,1,0,0,0
73,4.3,75.6829,46.4819,13.6171,14.5,0,0,0,0,1,0,0,0
74,4.3,44.2024,19.7309,5.02366,14.5,0,0,0,0,1,0,0,0
75,4.3,85,29.5379,30.7572,15.2,0,0,0,0,1,0,0,0
76,4.3,46.2316,19.0195,9.38734,14.9,0,0,0,0,1,0,0,0
77,4.3,70.5078,52.9891,48.83179461,13.5890593,0,0,0,0,1,0,0,0
78,4.3,40.4002,18.3631,3.53661,14.1,0,0,0,0,1,0,0,0
79,4.3,47.6686,20.2755,10.112,14.9,0,0,0,0,1,0,0,0
80,4.3,44.8747,18.1844,7.53972,14.2,0,0,0,0,1,0,0,0
81,4.3,64.4035,58.2544,7.68422,14.5,0,0,0,0,1,0,0,0
82,4.3,22.3569,23.1406,1.09397,13.6,0,0,0,0,1,0,0,0
83,4.3,75.2529,59.8947,14.1171,14,0,0,0,0,1,0,0,0
84,4.3,76.3999,41.0941,17.9314,14,0,0,0,0,1,0,0,0
85,4.3,50.836,42.6191,8.1715,14,0,0,0,0,1,0,0,0
86,4.3,85,52.1343,8.61864,13.5890593,0,0,0,0,1,0,0,0
87,4.3,85,52.0092,9.71414,14.2,0,0,0,0,1,0,0,0
88,4.3,83.3962,52.7198,9.04593,14.5,0,0,0,0,1,0,0,0
89,4.3,21.1915,23.4232,12.2785,13.5890593,0,0,0,0,1,0,0,0
90,4.3,85,31.0654,27.0777,15.2,0,0,0,0,1,0,0,0
91,4.3,82.4214,43.1523,27.569,14.5,0,0,0,0,1,0,0,0
92,4.3,70.4775,54.8322,7.98098,15,0,0,0,0,1,0,0,0
93,4.3,85,50.5705,7.76341,15.2,0,0,0,0,1,0,0,0
94,4.3,78.1569,60.997,18.1243,14,0,0,0,0,1,0,0,0
95,4.3,48.0418,54.4396,2.90217,13.5890593,0,0,0,0,1,0,0,0
96,4.3,82.4406,47.739,10.7045,13.5890593,0,0,0,0,1,0,0,0
97,4.3,85,82.58,10.5463,15,0,0,0,0,1,0,0,0
98,4.3,46.9732,19.4801,9.63244,14.5,0,0,0,0,1,0,0,0
99,4.3,55.6656,53.0311,2.68162,13.5890593,0,0,0,0,1,0,0,0
100,4.3,85,56.4348,8.27236,13.5890593,0,0,0,0,1,0,0,0
101,4.3,85,28.5489,30.5355,15.7,0,0,0,0,1,0,0,0
102,4.3,47.2515,23.3893,6.35667,13.5,0,0,0,0,1,0,0,0
103,4.3,85,57.2356,12.5868,15.2,0,0,0,0,1,0,0,0
104,4.3,85,33.8422,27.8725,15.1,0,0,0,0,1,0,0,0
105,4.3,60.6743,48.4,15.2829,13.5890593,0,0,0,0,1,0,0,0
106,4.3,48.4013,22.5533,6.39382,14.3,0,0,0,0,1,0,0,0
107,4.3,68.595,27.9675,29.5975,13.5890593,0,0,0,0,1,0,0,0
108,4.3,67.8188,67.829,4.67379,14.2,0,0,0,0,1,0,0,0
109,4.3,67.0552,55.6163,48.83179461,13.5890593,0,0,0,0,1,0,0,0
110,4.3,21.8186,24.6031,48.83179461,13.5890593,0,0,0,0,1,0,0,0
111,4.3,79.25,65.25,48.83179461,13.5890593,0,0,0,0,1,0,0,0
112,4.3,73.5688,46.4955,10.7396,14,1,1,0,0,1,0,0,0
113,4.3,26.8654,23.9405,0.683893,13.5890593,0,0,0,0,1,0,0,0
114,4.3,47.0257,22.3542,7.95382,14.1,0,0,0,0,1,0,0,0
115,4.3,85,33.0743,27.126,14.8,0,0,0,0,1,0,0,0
